Station_Name,City,StartDateTime,EndDateTime,ChargingTime,Energy
COMM VITALITY / 1000WALNUT1,Boulder,10/31/2019 17:56,10/31/2019 20:13,2:16:58,10.167
COMM VITALITY / 1000WALNUT2,Boulder,10/31/2019 18:42,10/31/2019 20:18,1:34:49,9.753
BOULDER / ATRIUM ST1,Boulder,10/30/2019 10:30,10/30/2019 10:32,0:01:36,0.152
COMM VITALITY / 1104 SPRUCE1,Boulder,10/31/2019 19:06,10/31/2019 21:42,2:35:33,16.434
BOULDER / N BOULDER REC 1,Boulder,10/30/2019 10:35,10/30/2019 11:58,1:21:23,4.688
COMM VITALITY / 1000WALNUT1,Boulder,10/30/2019 10:51,10/30/2019 17:11,3:07:15,8.974
BOULDER / N BOULDER REC 1,Boulder,10/30/2019 10:55,10/30/2019 12:57,2:01:43,8.473
COMM VITALITY / 1000WALNUT2,Boulder,10/30/2019 11:22,10/30/2019 13:25,2:01:45,11.146
BOULDER / ATRIUM ST1,Boulder,10/30/2019 12:06,10/30/2019 12:36,0:29:01,2.996
BOULDER / N BOULDER REC 1,Boulder,10/30/2019 12:23,10/30/2019 15:16,2:19:47,7.414
COMM VITALITY / 1500PEARL1,Boulder,10/30/2019 12:24,10/30/2019 13:26,1:02:04,6.401
COMM VITALITY / 1100WALNUT1,Boulder,10/30/2019 12:58,10/30/2019 18:31,4:06:08,22.004
BOULDER / EAST REC,Boulder,10/30/2019 13:38,10/30/2019 17:52,3:44:40,11.013
COMM VITALITY / 1100WALNUT1,Boulder,10/30/2019 15:50,10/30/2019 17:29,1:38:50,5.18
COMM VITALITY / 1000WALNUT2,Boulder,10/30/2019 15:59,10/30/2019 16:31,0:31:48,3.159
BOULDER / EAST REC,Boulder,10/30/2019 16:03,10/30/2019 17:07,1:02:55,3.467
BOULDER / N BOULDER REC 1,Boulder,10/30/2019 16:30,10/30/2019 18:25,1:55:15,8.05
BOULDER / N BOULDER REC 1,Boulder,10/30/2019 16:59,10/30/2019 18:20,1:20:28,4.659
COMM VITALITY / 1000WALNUT2,Boulder,10/30/2019 17:31,10/30/2019 18:28,0:56:18,5.493
COMM VITALITY / 1100WALNUT1,Boulder,10/30/2019 18:09,10/30/2019 19:51,1:40:30,10.287
BOULDERJUNCTION / JUNCTION ST1,Boulder,10/30/2019 18:33,10/30/2019 19:59,1:25:42,4.055
BOULDER / N BOULDER REC 1,Boulder,10/30/2019 19:05,10/30/2019 21:44,2:23:55,14.805
BOULDER / N BOULDER REC 1,Boulder,10/30/2019 19:16,10/30/2019 20:06,0:48:33,0.43
COMM VITALITY / 1104 SPRUCE1,Boulder,10/30/2019 20:05,10/30/2019 21:51,1:45:00,10.505
BOULDERJUNCTION / JUNCTION ST1,Boulder,10/30/2019 22:27,10/31/2019 8:45,3:12:37,9.653
COMM VITALITY / 1400 WALNUT1,Boulder,10/31/2019 7:24,10/31/2019 9:25,2:00:29,6.501
BOULDER / ALPINE ST1,Boulder,10/31/2019 7:45,10/31/2019 10:29,2:44:14,10.326
COMM VITALITY / BOULDER JCTN,Boulder,10/31/2019 7:48,10/31/2019 10:50,3:00:56,11.575
BOULDER / BASELINE ST1,Boulder,10/31/2019 8:32,10/31/2019 8:55,0:23:12,1.435
COMM VITALITY / 1104 SPRUCE1,Boulder,10/31/2019 8:41,10/31/2019 10:38,1:57:10,5.513
COMM VITALITY / BOULDER JCTN,Boulder,10/31/2019 8:53,10/31/2019 10:01,1:07:58,8.156
COMM VITALITY / 1400 WALNUT1,Boulder,10/31/2019 8:55,10/31/2019 10:35,1:39:32,9.368
BOULDER / REC CENTER ST2,Boulder,10/31/2019 9:19,10/31/2019 12:40,3:20:59,15.257
BOULDER / N BOULDER REC 1,Boulder,10/31/2019 9:36,10/31/2019 11:01,1:24:59,9.33
COMM VITALITY / 1500PEARL1,Boulder,10/31/2019 10:10,10/31/2019 13:26,3:15:47,18.683
COMM VITALITY / 1100WALNUT1,Boulder,10/31/2019 10:32,10/31/2019 10:33,0:00:00,0
